epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2069.66,0.93621,0.88111,0.99833,0.32574,0.0670838,0.000332487,0.000332487
2,4132.3,0.36217,0.95556,0.99667,0.16873,0.0340831,0.00066517,0.00066517
3,6181.63,0.25972,0.97944,1,0.07204,0.00107986,0.000995254,0.000995254
4,8237.89,0.18105,0.98556,1,0.05046,0.000991232,0.000991232,0.000991232
5,10338.1,0.16763,0.985,0.99944,0.05517,0.000984449,0.000984449,0.000984449
6,12432.3,0.12289,0.99,1,0.02713,0.000975773,0.000975773,0.000975773
7,14551.9,0.09046,0.99278,1,0.01696,0.000965239,0.000965239,0.000965239
8,16664.8,0.1019,0.99167,1,0.02331,0.000952889,0.000952889,0.000952889
9,18766.3,0.11275,0.99611,1,0.01979,0.000938772,0.000938772,0.000938772
10,20891.5,0.08102,0.99167,1,0.02321,0.000922942,0.000922942,0.000922942
11,23008.8,0.07905,0.99667,1,0.00969,0.000905463,0.000905463,0.000905463
12,25123.7,0.07284,0.99333,1,0.01849,0.000886404,0.000886404,0.000886404
13,27243.3,0.06254,0.99611,1,0.01669,0.000865839,0.000865839,0.000865839
14,29369.3,0.06719,0.99889,1,0.00677,0.000843851,0.000843851,0.000843851
15,31489.9,0.0632,0.99556,1,0.01637,0.000820525,0.000820525,0.000820525
16,33611.3,0.0553,0.99667,1,0.01299,0.000795954,0.000795954,0.000795954
17,35735,0.05181,0.99611,1,0.01274,0.000770234,0.000770234,0.000770234
18,37857.7,0.04722,0.99611,1,0.01031,0.000743468,0.000743468,0.000743468
19,39980.6,0.03687,0.99944,1,0.00309,0.000715761,0.000715761,0.000715761
20,42090.1,0.0389,0.99833,1,0.00544,0.000687222,0.000687222,0.000687222
21,44190.8,0.03814,0.99778,1,0.00683,0.000657963,0.000657963,0.000657963
22,46294.9,0.03846,0.99889,1,0.0034,0.000628101,0.000628101,0.000628101
23,48418.8,0.03073,0.99889,1,0.002,0.000597754,0.000597754,0.000597754
24,50580.4,0.03336,0.99778,1,0.00769,0.00056704,0.00056704,0.00056704
25,52637.3,0.03126,0.99944,1,0.00265,0.000536081,0.000536081,0.000536081
26,54694.8,0.02852,0.99833,1,0.00394,0.000505,0.000505,0.000505
27,56790.6,0.02446,0.99889,1,0.0054,0.000473919,0.000473919,0.000473919
28,58857,0.02713,0.99944,1,0.00542,0.00044296,0.00044296,0.00044296
29,60954.2,0.02027,0.99889,1,0.00309,0.000412246,0.000412246,0.000412246
30,63059.6,0.01783,0.99944,1,0.00128,0.000381899,0.000381899,0.000381899
31,65147.8,0.01869,0.99944,1,0.00338,0.000352037,0.000352037,0.000352037
32,67258.2,0.01646,0.99944,1,0.00503,0.000322778,0.000322778,0.000322778
33,69421.4,0.01726,0.99889,1,0.00386,0.000294239,0.000294239,0.000294239
34,71499.1,0.01695,0.99944,1,0.00366,0.000266532,0.000266532,0.000266532
35,73606.8,0.01487,0.99944,1,0.00311,0.000239766,0.000239766,0.000239766
36,75673.4,0.01484,0.99944,1,0.00182,0.000214046,0.000214046,0.000214046
37,77736,0.01618,0.99944,1,0.00116,0.000189475,0.000189475,0.000189475
38,79807.5,0.01595,0.99944,1,0.00091,0.000166149,0.000166149,0.000166149
39,81870.7,0.01468,0.99944,1,0.00227,0.000144161,0.000144161,0.000144161
40,83973.9,0.01124,0.99944,1,0.00137,0.000123596,0.000123596,0.000123596
41,86143.2,0.01056,0.99833,1,0.00218,0.000104537,0.000104537,0.000104537
42,88222.8,0.01338,0.99889,1,0.00184,8.70577e-05,8.70577e-05,8.70577e-05
43,90280.5,0.01361,0.99944,1,0.00114,7.12282e-05,7.12282e-05,7.12282e-05
44,92382.6,0.00906,0.99944,1,0.00196,5.71106e-05,5.71106e-05,5.71106e-05
45,94481,0.00776,0.99944,1,0.00136,4.47606e-05,4.47606e-05,4.47606e-05
46,96578.2,0.00799,0.99889,1,0.00128,3.4227e-05,3.4227e-05,3.4227e-05
47,98670.3,0.00858,0.99889,1,0.00149,2.55513e-05,2.55513e-05,2.55513e-05
48,100767,0.01032,0.99889,1,0.00153,1.87678e-05,1.87678e-05,1.87678e-05
49,102907,0.0104,0.99889,1,0.00148,1.39032e-05,1.39032e-05,1.39032e-05
50,104951,0.00956,0.99889,1,0.00142,1.09768e-05,1.09768e-05,1.09768e-05
